Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
14,1983-10-31,0.669209663,0.669657805
36,1983-11-30,0.68119891,0.68189567
80,1984-01-31,0.714030703,0.714540907
101,1984-02-29,0.670600858,0.671050866
144,1984-04-30,0.716075904,0.716589036
167,1984-05-31,0.721761097,0.722282412
210,1984-07-31,0.764525994,0.765110941
233,1984-08-31,0.762951095,0.763533634
276,1984-10-31,0.819000819,0.819672131
298,1984-11-30,0.830220008,0.830909846
319,1984-12-31,0.862663906,0.863408738
342,1985-01-31,0.884173298,0.884955752
362,1985-02-28,0.923787529,0.924641701
405,1985-04-30,0.803858521,0.805152979
428,1985-05-31,0.776397516,0.777604977
471,1985-07-31,0.708968451,0.709723208
514,1985-09-30,0.709723208,0.710479574
537,1985-10-31,0.689655172,0.699300699
580,1985-12-31,0.691085003,0.692041522
603,1986-01-31,0.707463742,0.707964602
623,1986-02-28,0.690607735,0.691562932
644,1986-03-31,0.674308833,0.674763833
666,1986-04-30,0.646412411,0.64683053
709,1986-06-30,0.652315721,0.652741514
732,1986-07-31,0.670690812,0.67114094
775,1986-09-30,0.690607735,0.691085003
798,1986-10-31,0.710984714,0.711490573
841,1986-12-31,0.674308833,0.674763833
905,1987-03-31,0.622858922,0.623247117
927,1987-04-30,0.602409639,0.602772755
970,1987-06-30,0.619770685,0.620155039
993,1987-07-31,0.628338046,0.628733103
1014,1987-08-31,0.61244488,0.612820199
1036,1987-09-30,0.61500615,0.615384615
1079,1987-11-30,0.546896363,0.547195622
1102,1987-12-31,0.529661017,0.530222694
1144,1988-02-29,0.563602547,0.563920374
1167,1988-03-31,0.529801325,0.530222694
1210,1988-05-31,0.54377379,0.544069641
1232,1988-06-30,0.586166471,0.586510264
1276,1988-08-31,0.594177065,0.594530321
1298,1988-09-30,0.591366056,0.591715976
1319,1988-10-31,0.5648122,0.565131393
1341,1988-11-30,0.541418517,0.541711809
1385,1989-01-31,0.570613409,0.570939195
1405,1989-02-28,0.573065903,0.573394495
1428,1989-03-31,0.591891092,0.592241635
1471,1989-05-31,0.634920635,0.635727908
1493,1989-06-30,0.645577792,0.645994832
1514,1989-07-31,0.59962823,0.599988
1537,1989-08-31,0.635324015,0.635727908
1580,1989-10-31,0.632711167,0.633111744
1602,1989-11-30,0.636456212,0.636861546
1646,1990-01-31,0.594883998,0.595238095
1666,1990-02-28,0.591366056,0.591715976
1709,1990-04-30,0.610687023,0.611060189
1732,1990-05-31,0.596480763,0.596836765
1775,1990-07-31,0.537345513,0.537634409
1798,1990-08-31,0.52882073,0.529100529
1841,1990-10-31,0.513795407,0.514059528
1863,1990-11-30,0.514588586,0.514853524
1884,1990-12-31,0.518000518,0.518806744
1907,1991-01-31,0.508517671,0.508776393
1927,1991-02-28,0.522739153,0.523012552
1970,1991-04-30,0.579038796,0.579374276
1993,1991-05-31,0.588235294,0.588581519
2036,1991-07-31,0.59311981,0.59347181
2079,1991-09-30,0.570776256,0.571102227
2102,1991-10-31,0.573230152,0.573558933
2145,1991-12-31,0.535331906,0.535905681
2168,1992-01-31,0.558659218,0.558971492
2210,1992-03-31,0.575705239,0.576036866
2232,1992-04-30,0.563539025,0.56385678
2275,1992-06-30,0.525072197,0.525348043
2298,1992-07-31,0.51975052,0.520020801
2319,1992-08-31,0.504413619,0.504668181
2341,1992-09-30,0.560852496,0.561167228
2384,1992-11-30,0.660720185,0.661157025
2407,1992-12-31,0.660501982,0.661813369
2471,1993-03-31,0.663570007,0.664010624
2493,1993-04-30,0.637145588,0.637551801
2514,1993-05-31,0.640409862,0.64082025
2536,1993-06-30,0.669120107,0.669568129
2580,1993-08-31,0.672268908,0.672721157
2602,1993-09-30,0.667556742,0.668002672
2645,1993-11-30,0.673219335,0.673672864
2668,1993-12-31,0.676132522,0.677506775
2689,1994-01-31,0.666222518,0.666666667
2709,1994-02-28,0.671591672,0.672043011
2732,1994-03-31,0.671411307,0.671862403
2775,1994-05-31,0.661200741,0.661638216
2797,1994-06-30,0.645786245,0.646203554
2841,1994-08-31,0.650872169,0.651296079
2863,1994-09-30,0.634678853,0.635081926
2884,1994-10-31,0.611246944,0.611620795
2906,1994-11-30,0.637673766,0.638080653
2950,1995-01-31,0.633071664,0.633472697
2970,1995-02-28,0.631074088,0.631472594
2993,1995-03-31,0.615233173,0.61599113
3036,1995-05-31,0.630119723,0.630517024
3058,1995-06-30,0.628693575,0.629089079
3079,1995-07-31,0.625625626,0.626017278
3102,1995-08-31,0.644080897,0.644496004
3145,1995-10-31,0.632111252,0.632511069
3167,1995-11-30,0.653167864,0.653594771
3211,1996-01-31,0.660763843,0.661200741
3232,1996-02-29,0.65257113,0.652997257
3275,1996-04-30,0.664628473,0.665070497
3298,1996-05-31,0.644246875,0.644662197
