Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
Hang Seng Investment Series (AEO342),Hang Seng Global Bond Fixed Maturity Fund 2022 - II (BOW655),Hang Seng Investment Management Limited,12/12/2019,Offering Documents,No,AEO342,BOW655,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOW655&docType=OD
BlackRock Global Funds (AAR239),China Bond Fund (BOX323),BlackRock (Luxembourg) S.A.,2/12/2019,Offering Documents,No,AAR239,BOX323,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOX323&docType=OD
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - China Government Local Bond Index Fund (BOW810),HSBC Investment Funds (Luxembourg) S.A.,29/11/2019,Offering Documents,No,BNY711,BOW810,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOW810&docType=OD
HSBC Global Funds ICAV (BNY711),HSBC Global Funds ICAV - Global Emerging Market Government Bond Index Fund (BOW811),HSBC Investment Funds (Luxembourg) S.A.,29/11/2019,Offering Documents,No,BNY711,BOW811,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOW811&docType=OD
BEA Union Investment Series (AHE623),BEA Union Investment Asian Bond Target Maturity Fund 2023 (BOR092),BEA Union Investment Management Limited,28/11/2019,Offering Documents,No,AHE623,BOR092,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOR092&docType=OD
Janus Henderson Horizon Fund (ADL924),Janus Henderson Horizon Fund - Biotechnology Fund (BOT684),Janus Henderson Investors Europe S.A.,15/11/2019,Offering Documents,No,ADL924,BOT684,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOT684&docType=OD
Janus Henderson Horizon Fund (ADL924),Janus Henderson Horizon Fund - Global Sustainable Equity Fund (BOT685),Janus Henderson Investors Europe S.A.,15/11/2019,Offering Documents,No,ADL924,BOT685,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOT685&docType=OD
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - EUR Investment Grade Credit Fund (BOP996),Allspring Global Investments Luxembourg S.A.,12/11/2019,Offering Documents,No,ART572,BOP996,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOP996&docType=OD
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - Global Long/Short Equity Fund (BOP997),Allspring Global Investments Luxembourg S.A.,12/11/2019,Offering Documents,Yes,ART572,BOP997,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOP997&docType=OD
Allspring (Lux) Worldwide Fund (ART572),Allspring (Lux) Worldwide Fund - USD Investment Grade Credit Fund (BOP990),Allspring Global Investments Luxembourg S.A.,12/11/2019,Offering Documents,No,ART572,BOP990,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOP990&docType=OD
