Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
Goldman Sachs Funds (BMX642),Goldman Sachs Japan Equity Partners Portfolio (BSW603),Goldman Sachs Asset Management Fund Services Limited,16/11/2022, ,No,BMX642,BSW603,
CMS Funds (AYF849),CMS Money Market Fund (BSX133),"CMS Asset Management (HK) Co., Limited",7/11/2022, ,No,AYF849,BSX133,
Eastspring Investments (APD368),Eastspring Investments - Global Low Volatility Equity Fund (BSX598),Eastspring Investments (Luxembourg) S.A.,1/11/2022,Offering Documents,No,APD368,BSX598,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX598&docType=OD
BOCHK Wealth Creation Series (AYX421),BOCHK All Weather HKD Money Market Fund (BSV019),BOCHK Asset Management Limited,27/10/2022, ,No,AYX421,BSV019,
BlackRock Global Funds (AAR239),China Innovation Fund (BSX533),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX533&docType=OD
BlackRock Global Funds (AAR239),China Onshore Bond Fund (BSY415),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY415,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY415&docType=OD
BlackRock Global Funds (AAR239),Next Generation Health Care Fund (BSX534),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSX534,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX534&docType=OD
BlackRock Global Funds (AAR239),Sustainable Global Infrastructure Fund (BSY416),BlackRock (Luxembourg) S.A.,26/10/2022,Offering Documents,No,AAR239,BSY416,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY416&docType=OD
PIMCO Funds: Hong Kong OFC (BSQ813),,PIMCO Asia Limited,26/10/2022, ,,BSQ813,,
PIMCO Funds: Hong Kong OFC (BSQ813),PIMCO Asia Bond Fund (BSQ814),PIMCO Asia Limited,26/10/2022, ,No,BSQ813,BSQ814,
PIMCO Funds: Hong Kong OFC (BSQ813),PIMCO Income Fund (BSQ815),PIMCO Asia Limited,26/10/2022, ,No,BSQ813,BSQ815,
UBS (Lux) Strategy SICAV (BSW919),,UBS Fund Management (Luxembourg) S.A.,25/10/2022,Offering Documents,,BSW919,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
UBS (Lux) Strategy SICAV (BSW919),UBS (Lux) Strategy SICAV - Income Sustainable (USD) (BSW920),UBS Fund Management (Luxembourg) S.A.,25/10/2022,Offering Documents,No,BSW919,BSW920,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSW920&docType=OD
ChinaAMC Select Fund (AVL899),ChinaAMC Select Flexible Cycle Income Fund (BSX517),China Asset Management (Hong Kong) Limited,17/10/2022,Offering Documents,No,AVL899,BSX517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSX517&docType=OD
BOC-Prudential Unit Trust Fund (AFH774),BOC-Prudential Hong Kong Stable Retirement Fund (BSM054),BOCI-Prudential Asset Management Limited,29/9/2022,Offering Documents,No,AFH774,BSM054,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSM054&docType=OD
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Asia ESG Bond (BSM001),HSBC Investment Funds (Luxembourg) S.A.,26/9/2022, ,No,AAU032,BSM001,
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Global Infrastructure Equity (BSR905),HSBC Investment Funds (Luxembourg) S.A.,23/9/2022, ,No,AAU032,BSR905,
DCI Investment Trust (AWD544),Da Cheng RMB Money Market Fund (BSR079),Da Cheng International Asset Management Company Limited,22/9/2022, ,No,AWD544,BSR079,
Celsius Investment Funds SICAV (BSH884),,FundRock Management Company S.A.,21/9/2022,Offering Documents,,BSH884,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Celsius Investment Funds SICAV (BSH884),Shiller US Sector Index Fund (BSH885),FundRock Management Company S.A.,21/9/2022,Offering Documents,No,BSH884,BSH885,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSH885&docType=OD
Eastspring Investments (APD368),Eastspring Investments - Asian Total Return Bond Fund (BSU222),Eastspring Investments (Luxembourg) S.A.,20/9/2022,Offering Documents,No,APD368,BSU222,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSU222&docType=OD
Schroder International Selection Fund (AEU509),Global Sustainable Food and Water (BSS918),Schroder Investment Management (Europe) S.A.,9/9/2022,Offering Documents,No,AEU509,BSS918,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSS918&docType=OD
Amundi Asia Funds (BSG577),,Amundi Luxembourg S.A.,7/9/2022, ,,BSG577,,
Amundi Asia Funds (BSG577),CIO Barbell Income Fund (BSG578),Amundi Luxembourg S.A.,7/9/2022, ,No,BSG577,BSG578,
Capital International Fund (BGX053),Capital Group American Balanced Fund (LUX) (BSR977),Capital International Management Company,25/8/2022,Offering Documents,No,BGX053,BSR977,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR977&docType=OD
Invesco Funds (AAV714),Invesco China A-Share Quality Core Equity Fund (BSR229),INVESCO Management S.A.,24/8/2022,Offering Documents,No,AAV714,BSR229,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR229&docType=OD
Invesco Funds (AAV714),Invesco Sustainable China Bond Fund (BSR228),INVESCO Management S.A.,24/8/2022,Offering Documents,No,AAV714,BSR228,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR228&docType=OD
HuaAn Investment Fund OFC (BSJ880),,HuaAn Asset Management (Hong Kong) Limited,22/8/2022,Offering Documents,,BSJ880,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
HuaAn Investment Fund OFC (BSJ880),HuaAn High Yield Bond Fund (BSJ882),HuaAn Asset Management (Hong Kong) Limited,22/8/2022, ,No,BSJ880,BSJ882,
HuaAn Investment Fund OFC (BSJ880),HuaAn Investment Grade Bond Fund (BSJ881),HuaAn Asset Management (Hong Kong) Limited,22/8/2022,Offering Documents,No,BSJ880,BSJ881,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSJ881&docType=OD
Schroder International Selection Fund (AEU509),European Sustainable Equity (BSQ710),Schroder Investment Management (Europe) S.A.,18/8/2022,Offering Documents,No,AEU509,BSQ710,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ710&docType=OD
Schroder International Selection Fund (AEU509),Sustainable Asian Equity (BSQ711),Schroder Investment Management (Europe) S.A.,18/8/2022,Offering Documents,No,AEU509,BSQ711,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ711&docType=OD
AB SICAV I (ANP585),Sustainable All Market Portfolio (BSQ440),AllianceBernstein (Luxembourg) S.a.r.l.,17/8/2022,Offering Documents,No,ANP585,BSQ440,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ440&docType=OD
AB SICAV I (ANP585),Sustainable Income Portfolio (BSQ441),AllianceBernstein (Luxembourg) S.a.r.l.,17/8/2022,Offering Documents,No,ANP585,BSQ441,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ441&docType=OD
ChinaAMC Select Fund (AVL899),ChinaAMC Select USD Money Market Fund (BSR551),China Asset Management (Hong Kong) Limited,2/8/2022,Offering Documents,No,AVL899,BSR551,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSR551&docType=OD
Architas Multi-Manager Global Managed Funds Unit Trust (BLW767),E.P.I.C. Global Equity Opportunities Fund (BSP533),Architas Multi-Manager Europe Limited,27/7/2022,Offering Documents,No,BLW767,BSP533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSP533&docType=OD
CICC Fund Series (BNL441),CICC China Equity Fund (BSQ366),China International Capital Corporation Hong Kong Asset Management Limited,20/7/2022,Offering Documents,No,BNL441,BSQ366,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSQ366&docType=OD
Amundi HK Portfolios (ATH930),Amundi HK - Sustainable Food For Generations (BSJ005),Amundi Hong Kong Limited,19/7/2022, ,No,ATH930,BSJ005,
Amundi HK Portfolios (ATH930),Amundi HK – MedTech Fund (BSJ006),Amundi Hong Kong Limited,19/7/2022, ,No,ATH930,BSJ006,
Fidelity Selected Funds (BSG286),,FIL Investment Management (Hong Kong) Limited,13/7/2022,Offering Documents,,BSG286,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Fidelity Selected Funds (BSG286),Short Duration Quality Income Fund (BSG287),FIL Investment Management (Hong Kong) Limited,13/7/2022,Offering Documents,No,BSG286,BSG287,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG287&docType=OD
Global X ETF Series II (BGZ810),Global X Asia Pacific High Dividend Yield ETF (BSL575)#,Mirae Asset Global Investments (Hong Kong) Limited,5/7/2022, ,No,BGZ810,BSL575)#,
Global X ETF Series II (BGZ810),Global X Bloomberg MSCI Asia ex Japan Green Bond ETF (BSL572)#,Mirae Asset Global Investments (Hong Kong) Limited,5/7/2022, ,No,BGZ810,BSL572)#,
Global X ETF Series II (BGZ810),Global X FTSE China Policy Bank Bond ETF (BSL573)#,Mirae Asset Global Investments (Hong Kong) Limited,5/7/2022, ,No,BGZ810,BSL573)#,
Manulife Global Fund (ABG535),Manulife Global Fund - Asia Dynamic Income Fund (BSI430),Manulife Investment Management (Ireland) Limited,4/7/2022,Offering Documents,No,ABG535,BSI430,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI430&docType=OD
Manulife Global Fund (ABG535),Manulife Global Fund - Asian Short Duration Bond Fund (BSI431),Manulife Investment Management (Ireland) Limited,4/7/2022,Offering Documents,No,ABG535,BSI431,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI431&docType=OD
Manulife Hong Kong Series (BFE015),Manulife Global Multi-Asset Diversified Income Fund (BSG912),Manulife Investment Management (Hong Kong) Limited,17/6/2022,Offering Documents,No,BFE015,BSG912,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG912&docType=OD
Bosera Global Public Funds Series Open-ended Fund Company (BRK534),Bosera USD Money Market Fund (BSG677),"Bosera Asset Management (International) Co., Limited",15/6/2022,Offering Documents,No,BRK534,BSG677,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG677&docType=OD
Zurich Invest ICAV (BRY373),,Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,,BRY373,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Zurich Invest ICAV (BRY373),Zurich Blue Adventurous Fund (BRY374),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY374,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY374&docType=OD
Zurich Invest ICAV (BRY373),Zurich Blue Balanced Fund (BRY375),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY375,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY375&docType=OD
Zurich Invest ICAV (BRY373),Zurich Blue Cautious Fund (BRY376),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY376,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY376&docType=OD
Zurich Invest ICAV (BRY373),Zurich Blue Performance Fund (BRY377),Carne Global Fund Managers (Ireland) Limited,7/6/2022,Offering Documents,No,BRY373,BRY377,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY377&docType=OD
Schroder International Selection Fund (AEU509),Healthcare Innovation (BSI024),Schroder Investment Management (Europe) S.A.,6/6/2022,Offering Documents,No,AEU509,BSI024,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI024&docType=OD
Wellington Management Funds (Luxembourg) III SICAV (BSE503),,Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,,BSE503,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington Credit Income Fund (BSE506),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE506,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE506&docType=OD
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington Global Property Income Fund (BSE505),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE505,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE505&docType=OD
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington Multi-Asset High Income Fund (BSE507),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE507,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE507&docType=OD
Wellington Management Funds (Luxembourg) III SICAV (BSE503),Wellington US Quality Growth Fund (BSE504),Wellington Luxembourg S.a.r.l.,30/5/2022,Offering Documents,No,BSE503,BSE504,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE504&docType=OD
HSBC Global Money Funds (AAW227),HSBC Global Money Funds - Renminbi (BSH331),HSBC Investment Funds (Hong Kong) Limited,27/5/2022,Offering Documents,No,AAW227,BSH331,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSH331&docType=OD
Taikang Kaitai Funds (BBQ508),Taikang Kaitai US Dollar Money Market Fund (BSG589),Taikang Asset Management (Hong Kong) Company Limited,25/5/2022,Offering Documents,No,BBQ508,BSG589,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG589&docType=OD
Neuberger Berman Investment Funds plc (BAU636),Neuberger Berman Sustainable Asia High Yield Fund (BSI123),Neuberger Berman Asset Management Ireland Limited,24/5/2022,Offering Documents,No,BAU636,BSI123,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSI123&docType=OD
GFI Unit Trust Series (BNR582),GFI Select Greater China Growth Fund (BSG488),GF International Investment Management Limited,17/5/2022,Offering Documents,No,BNR582,BSG488,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG488&docType=OD
Invesco Trust Series (BFA964),Invesco Asia Asset Allocation Feeder Fund (BSE863),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),6/5/2022,Offering Documents,No,BFA964,BSE863,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE863&docType=OD
Invesco Trust Series (BFA964),Invesco Global Investment Grade Corporate Bond Feeder Fund (BSE862),Invesco Hong Kong Limited (trading as Invesco Asia Pacific),6/5/2022,Offering Documents,No,BFA964,BSE862,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE862&docType=OD
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Climate Transition Bond Fund (BSE912),Abrdn Investments Luxembourg S.A.,28/4/2022,Offering Documents,No,AAN337,BSE912,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE912&docType=OD
Aberdeen Standard SICAV I (AAN337),Aberdeen Standard SICAV I - Emerging Markets Sustainable Development Equity Fund (BSE913),Abrdn Investments Luxembourg S.A.,28/4/2022,Offering Documents,No,AAN337,BSE913,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE913&docType=OD
ChinaAMC Select Fund (AVL899),ChinaAMC Select RMB Investment Grade Income Fund (BSG024),China Asset Management (Hong Kong) Limited,26/4/2022,Offering Documents,No,AVL899,BSG024,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSG024&docType=OD
UBS (HK) Fund Series (BHX642),UBS (HK) Fund Series - China Health Care Equity (USD) (BSD076),UBS Asset Management (Hong Kong) Limited,19/4/2022,Offering Documents,No,BHX642,BSD076,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD076&docType=OD
AXA World Funds (AEU586),AXA World Funds - Framlington Evolving Trends (BSF129),AXA Funds Management S.A.,13/4/2022,Offering Documents,No,AEU586,BSF129,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSF129&docType=OD
AXA World Funds (AEU586),AXA World Funds - Global Factors - Sustainable Equity (BSF128),AXA Funds Management S.A.,13/4/2022,Offering Documents,No,AEU586,BSF128,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSF128&docType=OD
BlackRock Premier Funds (BAV201),Dynamic High Income Fund (BSE922),BlackRock Asset Management North Asia Limited,12/4/2022,Offering Documents,No,BAV201,BSE922,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE922&docType=OD
BlackRock Premier Funds (BAV201),Systematic Global Equity High Income Fund (BSE923),BlackRock Asset Management North Asia Limited,12/4/2022,Offering Documents,No,BAV201,BSE923,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE923&docType=OD
CFund (BNJ536),CFund - Dynamic Income (BSE527),Pickers Capital Management Limited,8/4/2022,Offering Documents,No,BNJ536,BSE527,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSE527&docType=OD
Goldman Sachs Funds (BMX642),Goldman Sachs All China Equity Portfolio (BRZ973),Goldman Sachs Asset Management Fund Services Limited,6/4/2022,Offering Documents,No,BMX642,BRZ973,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ973&docType=OD
Goldman Sachs Funds (BMX642),Goldman Sachs India Equity Portfolio (BRZ974),Goldman Sachs Asset Management Fund Services Limited,6/4/2022,Offering Documents,No,BMX642,BRZ974,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ974&docType=OD
UBS (Lux) Strategy Fund (BRX761),,UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,,BRX761,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund - Balanced Sustainable (USD) (BRX762),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX762,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX762&docType=OD
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund - Fixed Income Sustainable (USD) (BRX763),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX763,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX763&docType=OD
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund - Growth Sustainable (USD) (BRX764),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX764,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX764&docType=OD
UBS (Lux) Strategy Fund (BRX761),UBS (Lux) Strategy Fund – Yield Sustainable (USD) (BRX765),UBS Fund Management (Luxembourg) S.A.,23/3/2022,Offering Documents,No,BRX761,BRX765,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX765&docType=OD
BNY Mellon Global Funds plc (AGR102),BNY Mellon Global High Yield Bond Fund (BRX486),BNY Mellon Fund Management (Luxembourg) S.A.,17/3/2022,Offering Documents,No,AGR102,BRX486,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX486&docType=OD
Fullgoal International Funds SICAV (BNY661),Fullgoal China Equity Fund (BRS921),LEMANIK ASSET MANAGEMENT S.A.,16/3/2022,Offering Documents,No,BNY661,BRS921,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRS921&docType=OD
Barings Umbrella Fund plc (BNC267),Barings Developed and Emerging Markets High Yield Bond Fund (BSD678),Baring International Fund Managers (Ireland) Limited,14/3/2022,Offering Documents,No,BNC267,BSD678,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD678&docType=OD
Barings Umbrella Fund plc (BNC267),Barings Global Bond Fund (BSD679),Baring International Fund Managers (Ireland) Limited,14/3/2022,Offering Documents,No,BNC267,BSD679,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSD679&docType=OD
PineBridge Global Funds (ALL921),PineBridge Asian High Yield Total Return Bond Fund (BRZ231),PineBridge Investments Ireland Limited,4/3/2022,Offering Documents,No,ALL921,BRZ231,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ231&docType=OD
Natixis International Funds (Lux) I (BAA243),Thematics AI and Robotics Fund (BRV516),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV516,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV516&docType=OD
Natixis International Funds (Lux) I (BAA243),Thematics Meta Fund (BRV517),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV517,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV517&docType=OD
Natixis International Funds (Lux) I (BAA243),Thematics Safety Fund (BRV518),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV518,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV518&docType=OD
Natixis International Funds (Lux) I (BAA243),Thematics Subscription Economy Fund (BRV520),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV520,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV520&docType=OD
Natixis International Funds (Lux) I (BAA243),Thematics Water Fund (BRV519),Natixis Investment Managers S.A.,28/2/2022,Offering Documents,No,BAA243,BRV519,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV519&docType=OD
CASH Prime Value Equity OFC (BRS794),,CASH Wealth Management Limited,22/2/2022,Offering Documents,No,BRS794,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
Janus Henderson Horizon Fund (ADL924),Janus Henderson Horizon Fund - Sustainable Future Technologies Fund (BRZ849),Janus Henderson Investors Europe S.A.,18/2/2022,Offering Documents,No,ADL924,BRZ849,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRZ849&docType=OD
E Fund SICAV (BRR528),,LEMANIK ASSET MANAGEMENT S.A.,17/2/2022,Offering Documents,,BRR528,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD
E Fund SICAV (BRR528),E Fund (HK) Greater China Quality Growth Fund (BRR529),LEMANIK ASSET MANAGEMENT S.A.,17/2/2022,Offering Documents,No,BRR528,BRR529,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRR529&docType=OD
UBS (Lux) Equity SICAV (AQQ447),UBS (Lux) Equity SICAV - Global Opportunity Sustainable (USD) (BRX809),UBS Fund Management (Luxembourg) S.A.,16/2/2022,Offering Documents,No,AQQ447,BRX809,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRX809&docType=OD
Eastspring Investments (APD368),Eastspring Investments - China Bond Fund (BRV896),Eastspring Investments (Luxembourg) S.A.,11/2/2022,Offering Documents,No,APD368,BRV896,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV896&docType=OD
BOCHK Wealth Creation Series (AYX421),BOCHK All Weather China New Dynamic Equity Fund (BRV011),BOCHK Asset Management Limited,7/2/2022,Offering Documents,No,AYX421,BRV011,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRV011&docType=OD
Bosera Global Public Funds Series Open-ended Fund Company (BRK534),Bosera Stable Income 18-Month Interval Offering Bond Fund - I (BRS611),"Bosera Asset Management (International) Co., Limited",25/1/2022,Offering Documents,No,BRK534,BRS611,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRS611&docType=OD
Bosera Global Public Funds Series Open-ended Fund Company (BRK534),Bosera Stable Income 18-Month Interval Offering Bond Fund - II (BRS612),"Bosera Asset Management (International) Co., Limited",25/1/2022,Offering Documents,No,BRK534,BRS612,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRS612&docType=OD
Bosera Global Public Funds Series Open-ended Fund Company (BRK534),Bosera Stable Income 18-Month Interval Offering Bond Fund - III (BRS613),"Bosera Asset Management (International) Co., Limited",25/1/2022,Offering Documents,No,BRK534,BRS613,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRS613&docType=OD
Invesco Funds (AAV714),Invesco China A-Share Quant Equity Fund (BRW067),INVESCO Management S.A.,14/1/2022,Offering Documents,No,AAV714,BRW067,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRW067&docType=OD
Matthews Asia Funds (AXK085),Matthews Asia Funds - Asia Innovative Growth Fund (BRW241),Carne Global Fund Managers (Luxembourg) S.A.,12/1/2022,Offering Documents,No,AXK085,BRW241,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRW241&docType=OD
BlackRock Global Funds (AAR239),ESG Flex Choice Cautious Fund (BRY122),BlackRock (Luxembourg) S.A.,10/1/2022,Offering Documents,No,AAR239,BRY122,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY122&docType=OD
BlackRock Global Funds (AAR239),ESG Flex Choice Growth Fund (BRY123),BlackRock (Luxembourg) S.A.,10/1/2022,Offering Documents,No,AAR239,BRY123,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BRY123&docType=OD
